img_name,origin_country,variety,processing_method,defect_class
columbia-caturra-washed-burnt-0-1.png,columbia,caturra,washed,burnt
columbia-caturra-washed-burnt-0-0.png,columbia,caturra,washed,burnt
columbia-caturra-washed-burnt-1-1.png,columbia,caturra,washed,burnt
columbia-caturra-washed-burnt-1-0.png,columbia,caturra,washed,burnt
ethiopia-ethHeirloom-washed-normal-2-2.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-23.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-16.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-25.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-0.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-19.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-10.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-6.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-10-20.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-10.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-15.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-8-9.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-4.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-8.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-13.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-7.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-12.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-6.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-9.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-5.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-8-8.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-14.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-11.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-7.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-10-21.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-18.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-11.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-1.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-24.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-17.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-22.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-3.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-1.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-8-19.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-20.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-15.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-3.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-13.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-13.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-10-23.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-5.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-9.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-16.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-7.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-4.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-19.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-10.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-18.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-5.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-11.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-24.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-6.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-17.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-8.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-10-22.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-4.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-12.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-12.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-2.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-14.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-8-24.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-21.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-8-18.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-0.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-11-8.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-4.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-8-20.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-19.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-10.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-16.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-6.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-23.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-13.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-16.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-0.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-2.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-15.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-1.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-20.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-21.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-14.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-0.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-3.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-1.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-17.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-12.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-22.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-7.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-17.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-24.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-18.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-11.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-8-21.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-5.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-11-9.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-7.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-13.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-8-23.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-13-9.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-15.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-20.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-5.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-10-19.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-10.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-3.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-15.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-1.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-2.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-16.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-23.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-22.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-3.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-17.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-4-0.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-19-14.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-10-24.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-6-2.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-10-18.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-17-11.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-4.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-21.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-15-14.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-13-8.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-8-22.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-12.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-6.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-16-22.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-7.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-11-17.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-4.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-5.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-14-9.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-24.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-18.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-11.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-3.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-21.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-9-11.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-14.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-1.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-13-12.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-13-13.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-0.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-15.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-9-10.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-20.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-2.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-19.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-10.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-25.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-14-8.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-4.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-5.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-11-16.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-6.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-16-23.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-4.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-18.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-16-21.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-24.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-11-14.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-16-8.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-7.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-6.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-9-9.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-12.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-0.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-9-12.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-22.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-17.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-2.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-14-24.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-14-18.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-13-11.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-14-19.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-13-10.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-14-25.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-3.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-16.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-0-23.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-9-13.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-1.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-13.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-9-8.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-7.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-6.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-11-15.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-16-9.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-16-20.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-19.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-5.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-21.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-16-18.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-11-11.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-1.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-16-24.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-2.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-3.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-17.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-22.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-9.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-5.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-12.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-9-17.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-13-14.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-14-21.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-7.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-3-6.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-14-20.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-13-15.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-9-16.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-13.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-1-4.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-12-8.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-2-23.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-16.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-7-2.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-18-3.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-16-25.png,ethiopia,ethHeirloom,washed,normal
ethiopia-ethHeirloom-washed-normal-5-0.png,ethiopia,ethHeirloom,washed,normal
